Jenis Tanaman,Produksi Buah-Buahan dan Sayuran Tahunan
Alpukat/Avocado(kw/qui),41467
Anggur/Grape(kw/qui),710
Apel/Apple(kw/qui),125
Belimbing/Star Fruit(kw/qui),30622
Duku/Langsat/Kokosan/Duku(kw/qui),13198
Durian/Durian(kw/qui),67284
Jambu Air/Water Apple(kw/qui),9927
Jambu Biji/Guava(kw/qui),46485
Jengkol/Jengkol(kw/qui),
Jeruk Besar/Pomelo(kw/qui),1933
Jeruk Siam/Keprok/Orange/Tangerine(kw/qui),1932407
Mangga/Mango(kw/qui),200539
Manggis/Mangosteen(kw/qui),74480
Melinjo/Gnetum/Melinjo(kw/qui),4082
Nangka/Cempedak/Jackfruit(kw/qui),115384
Nenas/Pineapple(kw/qui),104
Pepaya/Papaya(kw/qui),472098
Petai/Twisted Cluster Bean(kw/qui),6643
Pisang/Banana(kw/qui),543618
Rambutan/Rambutan(kw/qui),105050
Salak/Snakefruit(kw/qui),60563
Sawo/Sapodilla/Sawo(kw/qui),5061
Sirsak/Soursop(kw/qui),9799
Sukun/Breadfruit(kw/qui),9774
Buah Naga/Hylocereus polyrhizus(kw/qui),...
Jeruk Lemon/Lemon(kw/qui),...
Lengkeng/Dimocarpus longan(kw/qui),...
